1900, 1.656778834759263e-08
1901, 1.071430112885098e-08
1902, 1.179529559739275e-08
1903, 1.1876990502202029e-08
1904, 1.166187229324171e-08
1905, 1.217362985020794e-08
1906, 1.197188938460515e-08
1907, 1.0448931244054289e-08
1908, 9.870753420975526e-09
1909, 8.497333186292218e-09
1910, 8.699556059659536e-09
1911, 8.313742329489417e-09
1912, 8.07107891631631e-09
1913, 9.132151923552101e-09
1914, 1.000624446792894e-08
1915, 1.097190382992607e-08
1916, 1.1452608829541432e-08
1917, 1.165296411745738e-08
1918, 1.308717071221313e-08
1919, 1.3451973376480251e-08
1920, 1.5303364416955183e-08
1921, 1.3984593546670761e-08
1922, 1.38832941333687e-08
1923, 1.311386554903037e-08
1924, 1.3859292761050511e-08
1925, 1.3559904564276941e-08
1926, 1.4144282570579692e-08
1927, 1.267802104568513e-08
1928, 1.316292509910356e-08
1929, 1.276758241987506e-08
1930, 1.434749360588024e-08
1931, 1.5016199839124053e-08
1932, 1.587558249939645e-08
1933, 1.645552545020174e-08
1934, 1.563939454131611e-08
1935, 1.5783705517183732e-08
1936, 1.5979883194461312e-08
1937, 1.5256001414546254e-08
1938, 1.4510401007734282e-08
1939, 1.306852759341836e-08
1940, 1.14286242691719e-08
1941, 1.101214789197716e-08
1942, 1.208340881321743e-08
1943, 1.18871459976942e-08
1944, 1.148521722171835e-08
1945, 1.050526941627692e-08
1946, 1.019503300828513e-08
1947, 1.0614569667666269e-08
1948, 1.1551855345308982e-08
1949, 1.199521498002858e-08
1950, 1.266045249589556e-08
1951, 1.482391327150318e-08
1952, 1.581225233288868e-08
1953, 1.73863887096916e-08
1954, 1.983031377201476e-08
1955, 1.971158614111345e-08
1956, 1.94326471105098e-08
1957, 2.098345192840562e-08
1958, 2.115587603514411e-08
1959, 2.373997303501645e-08
1960, 2.521814300239709e-08
1961, 2.834924422196699e-08
1962, 3.512739787936425e-08
1963, 4.529256690334802e-08
1964, 5.3900500570794725e-08
1965, 6.93207018136783e-08
1966, 8.404768969683118e-08
1967, 1.04695984707145e-07
1968, 1.2701607131150788e-07
1969, 1.461765829649916e-07
1970, 1.604290643188375e-07
1971, 1.774944178935454e-07
1972, 1.859377505297743e-07
1973, 1.938526708045174e-07
1974, 1.96761151625781e-07
1975, 2.0189568569354107e-07
1976, 2.033153318084909e-07
1977, 2.1119664544195463e-07
1978, 2.1504518648336149e-07
1979, 2.2228532462317418e-07
1980, 2.309129537739603e-07
1981, 2.424733500967184e-07
